Date,Envelope,Account,Name,Notes,"Check #",Amount,Status,Details
16/02/2023,"Cumpărături neesențiale","My Account","Teatrul Regina Maria",,,-48.18,,
16/02/2023,"Cumpărături neesențiale","My Account","Teatrul Regina Maria",,,-48.18,,
16/02/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
16/02/2023,Taxi,"My Account",OTL,,,-3.00,,
16/02/2023,"Cumpărături neesențiale","My Account",Profi,,,-17.04,,
16/02/2023,Studiu,"My Account","Auto Zach",,,-50.00,,
14/02/2023,Cumparaturi,"My Account",Kaufland,,,-27.95,,
14/02/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
14/02/2023,Taxi,"My Account",OTL,,,-3.00,,
14/02/2023,Taxi,"My Account",OTL,,,-3.00,,
13/02/2023,Cumparaturi,"My Account","Piata Rogerius",,,-2.00,,
13/02/2023,Cumparaturi,"My Account",Kaufland,,,-46.46,,
11/02/2023,Cumparaturi,"My Account",Lidl,,,-81.32,,
11/02/2023,Cumparaturi,"My Account",Kaufland,,,-164.33,,
11/02/2023,Cumparaturi,"My Account","Piața Rogerius",,,-17.00,,
11/02/2023,"Cumpărături neesențiale","My Account","Starea Nației",,,-190.00,,
11/02/2023,"Cumpărături neesențiale","My Account",Answear,,,-194.80,,
10/02/2023,"Cumpărături neesențiale","My Account","Filarmonica Oradea",,,-45.50,,
10/02/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
10/02/2023,Taxi,"My Account",OTL,,,-3.00,,
10/02/2023,,"My Account","Monthly Envelope Fill",,,"8,000.00",,"DELETED: Abonament autobus|90.00||Savings|2,500.00||Cheltuieli neprevazute + mici placeri|595.00||Asigurare viata|180.00||Abonament telefon + sala + autobus|496.00||Chirie|1,000.00||Masa in oras|500.00||Taxi|200.00||Donatii|1,500.00||Impozit pe venit|500.00||Utilitati|250.00||Cumparaturi|651.00||[Unallocated]|-462.00"
08/02/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
08/02/2023,Taxi,"My Account",OTL,,,-3.00,,
08/02/2023,"Asigurare viata","My Account",Nn,,,"-2,326.99",,
07/02/2023,"Cumpărături neesențiale","My Account",Auchan,,,-27.80,,
07/02/2023,Taxi,"My Account",OTL,,,-3.00,,
07/02/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
06/02/2023,"Cumpărături neesențiale","My Account","Filarmonica Oradea",,,-30.50,,
04/02/2023,"Cumpărături neesențiale","My Account","Tiltott Csiki Sorozo",,,-90.00,,
04/02/2023,Cumparaturi,"My Account","Piata Rogerius",,,-28.00,,
04/02/2023,Cumparaturi,"My Account",Lidl,,,-33.98,,
04/02/2023,Cumparaturi,"My Account",Kaufland,,,-118.87,,
03/02/2023,Donatii,"My Account",PressOne,,,-100.00,,
02/02/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
02/02/2023,Taxi,"My Account",OTL,,,-3.00,,
01/02/2023,Utilitati,"My Account","Asociatia Locatari Aluminei 68",,,-494.00,,
01/02/2023,Studiu,"My Account","Auto Zach",,,-150.00,,
01/02/2023,Donatii,"My Account",LOGS,,,-100.00,,
31/01/2023,Cumparaturi,"My Account",Dm,,,-10.99,,
31/01/2023,Cumparaturi,"My Account",Kaufland,,,-21.47,,
31/01/2023,Medical,"My Account","Dalea Ioana",,,-110.00,,
30/01/2023,Cumparaturi,"My Account",Lidl,,,-56.44,,
30/01/2023,Cumparaturi,"My Account",Kaufland,,,-13.38,,
30/01/2023,Cumparaturi,"My Account","Piata Rogerius",,,-40.00,,
29/01/2023,Utilitati,"My Account",DIGI,,,-9.85,,
29/01/2023,Cumparaturi,"My Account",Kaufland,,,-75.45,,
29/01/2023,Cumparaturi,"My Account","Mega Image",,,-27.19,,
29/01/2023,"Cumpărături neesențiale","My Account",Decathlon,,,-104.98,,
27/01/2023,Studiu,"My Account","Auto Zach",,,-300.00,,
27/01/2023,Taxi,"My Account",OTL,,,-3.00,,
27/01/2023,Taxi,"My Account",OTL,,,-3.00,,
27/01/2023,Studiu,"My Account","Auto Zach",,,-50.00,,
24/01/2023,Studiu,"My Account","Auto Zach","Ore suplimentare (2)",,-300.00,,
24/01/2023,Studiu,"My Account","Auto Zach","Taxă permis",,-95.00,,
24/01/2023,Taxi,"My Account",OTL,,,-3.00,,
24/01/2023,"Cumpărături neesențiale","My Account",LinkedIn,,,-133.99,,
23/01/2023,Cumparaturi,"My Account",Profi,,,-7.98,,
23/01/2023,Donatii,"My Account",Libertatea,,,-50.00,,
22/01/2023,Cumparaturi,"My Account",Profi,,,-6.00,,
22/01/2023,"Cumpărături neesențiale","My Account",Papamigdal,,,-168.00,,
21/01/2023,Cumparaturi,"My Account",Lidl,,,-56.96,,
21/01/2023,Cumparaturi,"My Account",Kaufland,,,-99.54,,
20/01/2023,"Cumpărături neesențiale","My Account","Teatrul Regina Maria",,,-48.18,,
20/01/2023,"Cumpărături neesențiale","My Account","Teatrul Regina Maria",,,-37.93,,
20/01/2023,"Cumpărături neesențiale","My Account","Filarmonica Oradea",,,-45.00,,
20/01/2023,Taxi,"My Account",OTL,,,-3.00,,
20/01/2023,"Cumpărături neesențiale","My Account",LinkedIn,,,-133.99,,
19/01/2023,"Cumpărături neesențiale","My Account",Miango,,,-65.00,,
19/01/2023,Taxi,"My Account","Taxi Fulger",,,-27.00,,
18/01/2023,"Cumpărături neesențiale","My Account","Teatrul Regina Maria",,,-37.93,,
18/01/2023,Taxi,"My Account",OTL,,,-3.00,,
17/01/2023,Taxi,"My Account",CFR,,,-50.60,,
17/01/2023,Cumparaturi,"My Account","Ferma Steluța",,,-38.90,,
17/01/2023,Cumparaturi,"My Account",Panemar,,,-59.00,,
16/01/2023,Taxi,"My Account",Ctp,,,-15.00,,
16/01/2023,Medical,"My Account","Farmacia Anafarm",,,-115.46,,
16/01/2023,Medical,"My Account",Psihomedica,,,-135.00,,
16/01/2023,Medical,"My Account",DermaElite,,,-200.00,,
16/01/2023,Cumparaturi,"My Account",Panemar,,,-48.50,,
16/01/2023,Taxi,"My Account","Interregio Calatori",,,-25.00,,
16/01/2023,Taxi,"My Account","Taxi Nova",,,-33.00,,
14/01/2023,Cumparaturi,"My Account","Piața Rogerius",,,-12.70,,
14/01/2023,Cumparaturi,"My Account",Kaufland,,,-57.91,,
14/01/2023,Cumparaturi,"My Account",Lidl,,,-48.97,,
14/01/2023,Cumparaturi,"My Account",Kaufland,,,-220.00,,
13/01/2023,Taxi,"My Account",OTL,,,-3.00,,
13/01/2023,"Cumpărături neesențiale","My Account","YouTube Music",,,-22.00,,
10/01/2023,,"My Account","Monthly Envelope Fill",,,"8,000.00",,"DELETED: Abonament autobus|90.00||Savings|2,500.00||Cheltuieli neprevazute + mici placeri|595.00||Asigurare viata|180.00||Abonament telefon + sala + autobus|496.00||Chirie|1,000.00||Masa in oras|500.00||Taxi|200.00||Donatii|1,500.00||Impozit pe venit|500.00||Utilitati|250.00||Cumparaturi|651.00||[Unallocated]|-462.00"
09/01/2023,Cumparaturi,"My Account",Profi,,,-5.99,,
09/01/2023,Studiu,"My Account","Auto Zach",,,"-1,400.00",,
